Date,Open,High,Low,Close,Adj Close,Volume
2024-01-04,620.0,627.9000244140625,612.7999877929688,625.0999755859375,625.0999755859375,25463400
2024-01-05,627.4000244140625,654.7999877929688,626.9000244140625,648.2000122070312,648.2000122070312,37062500
2024-01-09,650.0,681.4000244140625,649.2000122070312,671.9000244140625,671.9000244140625,40367400
2024-01-10,673.0999755859375,681.9000244140625,658.0999755859375,659.7999877929688,659.7999877929688,27563800
2024-01-11,638.0,656.5999755859375,634.5,643.7000122070312,643.7000122070312,35807800
2024-01-12,650.0,656.0,641.0999755859375,654.2000122070312,654.2000122070312,22844700
2024-01-15,657.0,659.5,647.7999877929688,655.7999877929688,655.7999877929688,4828700
2024-01-16,648.4000244140625,653.7000122070312,638.5,645.9000244140625,645.9000244140625,16213800
2024-01-17,646.7999877929688,655.5,643.0,648.2999877929688,648.2999877929688,14760100
2024-01-18,649.0,654.7999877929688,640.7000122070312,652.2999877929688,652.2999877929688,15981200
2024-01-19,657.7000122070312,663.4000244140625,647.5,651.2000122070312,651.2000122070312,15713300
2024-01-22,655.0,661.5,649.2000122070312,658.5999755859375,658.5999755859375,13292400
2024-01-23,661.0999755859375,665.9000244140625,649.5,654.5,654.5,13147000
2024-01-24,651.2999877929688,662.0,648.0,661.0999755859375,661.0999755859375,13771100
2024-01-25,662.2000122070312,670.0,654.5,661.5,661.5,16962400
2024-01-26,665.0,691.4000244140625,662.5,684.7000122070312,684.7000122070312,37577000
2024-01-29,688.0,689.9000244140625,653.2000122070312,654.7000122070312,654.7000122070312,25908400
2024-01-30,653.7999877929688,658.7999877929688,648.7999877929688,651.2000122070312,651.2000122070312,14058100
2024-01-31,650.0,652.0999755859375,640.0,650.5,650.5,14767200
2024-02-01,641.5999755859375,642.4000244140625,621.0999755859375,624.2000122070312,624.2000122070312,18157800
2024-02-02,630.7999877929688,635.5,626.0999755859375,632.0,632.0,10860800
2024-02-05,635.0,650.5,631.5999755859375,649.2999877929688,649.2999877929688,14238200
2024-02-06,642.0999755859375,649.5999755859375,640.5,643.2000122070312,643.2000122070312,10340500
2024-02-07,643.7000122070312,643.7000122070312,631.2999877929688,635.0,635.0,10802900
